chr,start,end,map,width,strand,gc
chr1,1,500000,0.167036854803587,500000,*,0.306414
chr1,500001,1000000,0.56625697877086,500000,*,0.479984
chr1,1000001,1500000,0.943043172309859,500000,*,0.598332
chr1,1500001,2000000,0.917396183050172,500000,*,0.539498
chr1,2000001,2500000,0.980992141875388,500000,*,0.594508
chr1,2500001,3000000,0.912205615139774,500000,*,0.511758
chr1,3000001,3500000,0.988340490372831,500000,*,0.584572
chr1,3500001,4000000,0.983067590104556,500000,*,0.383696
chr1,4000001,4500000,0.975358072453561,500000,*,0.482574
chr1,4500001,5000000,0.985981958000608,500000,*,0.481828
chr1,5000001,5500000,0.978551555054651,500000,*,0.447446
chr1,5500001,6000000,0.984032237379124,500000,*,0.49113
chr1,6000001,6500000,0.982877161271685,500000,*,0.545072
chr1,6500001,7000000,0.983253901994537,500000,*,0.489968
chr1,7000001,7500000,0.97838385189147,500000,*,0.470672
chr1,7500001,8000000,0.982391622564158,500000,*,0.48825
chr1,8000001,8500000,0.984713159109187,500000,*,0.462702
chr1,8500001,9000000,0.975982799640116,500000,*,0.42601
chr1,9000001,9500000,0.988290779251184,500000,*,0.506692
chr1,9500001,10000000,0.980259041994802,500000,*,0.497248
chr1,10000001,10500000,0.977008942654977,500000,*,0.445162
chr1,10500001,11000000,0.992258381444822,500000,*,0.511386
chr1,11000001,11500000,0.970472506723521,500000,*,0.480212
chr1,11500001,12000000,0.987926705929131,500000,*,0.519874
chr1,12000001,12500000,0.985905979744089,500000,*,0.476294
chr1,12500001,13000000,0.833053313886459,500000,*,0.462062
chr1,13000001,13500000,0.379263864697932,500000,*,0.322318
chr1,13500001,14000000,0.691257020522121,500000,*,0.419526
chr1,14000001,14500000,0.984463906757944,500000,*,0.4314
chr1,14500001,15000000,0.976995577570361,500000,*,0.431124
chr1,15000001,15500000,0.991612301499873,500000,*,0.494934
chr1,15500001,16000000,0.982370077964469,500000,*,0.472726
chr1,16000001,16500000,0.976315202831859,500000,*,0.513082
chr1,16500001,17000000,0.847297119448873,500000,*,0.479312
chr1,17000001,17500000,0.843437557675558,500000,*,0.449482
chr1,17500001,18000000,0.988207363631864,500000,*,0.513392
chr1,18000001,18500000,0.992642263251366,500000,*,0.494528
chr1,18500001,19000000,0.993734327168,500000,*,0.488698
chr1,19000001,19500000,0.995869854334321,500000,*,0.49686
chr1,19500001,20000000,0.985067822765848,500000,*,0.477782
chr1,20000001,20500000,0.985492459096047,500000,*,0.462494
chr1,20500001,21000000,0.992436520503006,500000,*,0.485118
chr1,21000001,21500000,0.972363923266379,500000,*,0.41547
chr1,21500001,22000000,0.950924484774428,500000,*,0.505598
chr1,22000001,22500000,0.96554933681538,500000,*,0.48992
chr1,22500001,23000000,0.995647247741829,500000,*,0.493016
chr1,23000001,23500000,0.989149122679723,500000,*,0.47373
chr1,23500001,24000000,0.981362157786813,500000,*,0.472092
chr1,24000001,24500000,0.966010427224589,500000,*,0.473276
chr1,24500001,25000000,0.987146669123136,500000,*,0.456138
chr1,25000001,25500000,0.978497632487756,500000,*,0.482684
chr1,25500001,26000000,0.88339822459988,500000,*,0.465824
chr1,26000001,26500000,0.991220894581661,500000,*,0.487938
chr1,26500001,27000000,0.974781636199385,500000,*,0.48615
chr1,27000001,27500000,0.974356038169272,500000,*,0.492838
chr1,27500001,28000000,0.979956881347068,500000,*,0.498338
chr1,28000001,28500000,0.975507760712209,500000,*,0.444136
chr1,28500001,29000000,0.974413644591557,500000,*,0.460588
chr1,29000001,29500000,0.980850828452746,500000,*,0.449012
chr1,29500001,30000000,0.981185070333639,500000,*,0.371104
chr1,30000001,30500000,0.987856503853955,500000,*,0.447102
chr1,30500001,31000000,0.9644126352842,500000,*,0.481586
chr1,31000001,31500000,0.984635258952465,500000,*,0.479274
chr1,31500001,32000000,0.981570783025694,500000,*,0.46007
chr1,32000001,32500000,0.988527421354762,500000,*,0.488656
chr1,32500001,33000000,0.977081620240799,500000,*,0.475456
chr1,33000001,33500000,0.977835257042417,500000,*,0.469764
chr1,33500001,34000000,0.975795446688813,500000,*,0.465568
chr1,34000001,34500000,0.973292910819875,500000,*,0.452504
chr1,34500001,35000000,0.969292049702286,500000,*,0.439524
